,Cluster_1,Cluster_2
Untreated,2399,7601
ATM,2567,7433
CTBP1,2436,7564
DNMT1,2182,7818
DNMT3A,2380,7620
E2F1,2049,7951
E2F2,2378,7622
E2F4,1798,8202
E2F5,2209,7791
EBF1,2398,7602
ETS2,2588,7412
GATA1,2394,7606
IRF3,2469,7531
IRF7,2438,7562
MCM3,2413,7587
MCM5,2413,7587
MYBL2,2373,7627
MYC,1956,8044
MYCN,2619,7381
NFIC,2050,7950
PAX5,2066,7934
POU2F1,2847,7153
RARA,2236,7764
RB1,2869,7131
SMARCA4,2393,7607
STAT3,2934,7066
TFDP1,1725,8275
TP53,1832,8168
TP63,2054,7946
USF2,2281,7719
